frame_idx,sim_time_s,peak_joint,peak_value
558,22.5070,fl_knee,0.1504
559,22.5400,fl_knee,0.1504
560,22.5730,fl_knee,0.1504
561,22.6060,fl_knee,0.1505
562,22.6390,fl_knee,0.1505
563,22.6720,fl_knee,0.1505
564,22.7050,fl_knee,0.1505
565,22.7380,fl_knee,0.1505
566,22.7710,fl_knee,0.1505
567,22.8040,fl_knee,0.1505
568,22.8370,fl_knee,0.1505
569,22.8700,fl_knee,0.1505
570,22.9030,fl_knee,0.1504
571,22.9360,fl_knee,0.1504
572,22.9690,fl_knee,0.1504
573,23.0020,fl_knee,0.1504
574,23.0350,fl_knee,0.1503
575,23.0680,fl_knee,0.1503
576,23.1010,fl_knee,0.1503
577,23.1340,fl_knee,0.1502
578,23.1670,fl_knee,0.1502
579,23.2000,fl_knee,0.1502
580,23.2330,fl_knee,0.1501
581,23.2660,fl_knee,0.1501
582,23.2990,fl_knee,0.1501
583,23.3320,fl_knee,0.1500
584,23.3650,fl_knee,0.1500
585,23.3980,fl_knee,0.1500
586,23.4310,fl_knee,0.1500
587,23.4640,fl_knee,0.1499
588,23.4970,fl_knee,0.1499
589,23.5300,fl_knee,0.1499
590,23.5630,fl_knee,0.1498
591,23.5960,fl_knee,0.1498
592,23.6290,fl_knee,0.1498
593,23.6620,fl_knee,0.1497
594,23.6950,fl_knee,0.1497
595,23.7280,fl_knee,0.1497
596,23.7610,fl_knee,0.1496
597,23.7940,fl_knee,0.1496
598,23.8270,fl_knee,0.1496
599,23.8600,fl_knee,0.1495
600,23.8930,fl_knee,0.1495
601,23.9260,fl_knee,0.1495
602,23.9590,fl_knee,0.1494
603,23.9920,fl_knee,0.1494
604,24.0250,fl_knee,0.1494
605,24.0580,fl_knee,0.1493
606,24.0910,fl_knee,0.1493
607,24.1240,fl_knee,0.1493
608,24.1570,fl_knee,0.1493
609,24.1900,fl_knee,0.1492
610,24.2230,fl_knee,0.1492
611,24.2560,fl_knee,0.1492
612,24.2890,fl_knee,0.1491
613,24.3220,fl_knee,0.1491
614,24.3550,fl_knee,0.1491
615,24.3880,fl_knee,0.1490
616,24.4210,fl_knee,0.1490
617,24.4540,fl_knee,0.1490
618,24.4870,fl_knee,0.1489
619,24.5200,fl_knee,0.1489
620,24.5530,fl_knee,0.1489
621,24.5860,fl_knee,0.1489
622,24.6190,fl_knee,0.1488
623,24.6520,fl_knee,0.1488
624,24.6850,fl_knee,0.1488
625,24.7180,fl_knee,0.1487
626,24.7510,fl_knee,0.1487
627,24.7840,fl_knee,0.1487
628,24.8170,fl_knee,0.1486
629,24.8500,fl_knee,0.1486
630,24.8830,fl_knee,0.1486
631,24.9160,fl_knee,0.1485
632,24.9490,fl_knee,0.1485
633,24.9820,fl_knee,0.1485
634,25.0150,fl_knee,0.1484
635,25.0480,fl_knee,0.1484
636,25.0810,fl_knee,0.1484
637,25.1140,fl_knee,0.1483
638,25.1470,fl_knee,0.1483
639,25.1800,fl_knee,0.1483
640,25.2130,fl_knee,0.1482
641,25.2460,fl_knee,0.1482
